Indicator 58 Monthly total of fuel used by vehicles at Australian Antarctic Stations,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure
Nov-01,-54.61988889,158.861,Macquarie Island,Fuel usage,130,,litres
Dec-01,-67.60269444,62.87380556,Mawson,Fuel usage,200,,litres
Dec-01,-68.57661111,77.96738889,Davis,Fuel usage,3180,,litres
Dec-01,-66.28180556,110.5276111,Casey,Fuel usage,4371,,litres
Dec-01,-54.61988889,158.861,Macquarie Island,Fuel usage,102,,litres
Jan-02,-67.60269444,62.87380556,Mawson,Fuel usage,1550,,litres
Jan-02,-68.57661111,77.96738889,Davis,Fuel usage,2600,,litres
Jan-02,-66.28180556,110.5276111,Casey,Fuel usage,1549,,litres
Jan-02,-54.61988889,158.861,Macquarie Island,Fuel usage,179,,litres
Feb-02,-67.60269444,62.87380556,Mawson,Fuel usage,320,,litres
Feb-02,-68.57661111,77.96738889,Davis,Fuel usage,2300,,litres
Feb-02,-66.28180556,110.5276111,Casey,Fuel usage,716,,litres
Feb-02,-54.61988889,158.861,Macquarie Island,Fuel usage,128,,litres
Mar-02,-67.60269444,62.87380556,Mawson,Fuel usage,1000,,litres
Mar-02,-68.57661111,77.96738889,Davis,Fuel usage,90,,litres
Mar-02,-66.28180556,110.5276111,Casey,Fuel usage,565,,litres
Mar-02,-54.61988889,158.861,Macquarie Island,Fuel usage,170,,litres
Apr-02,-68.57661111,77.96738889,Davis,Fuel usage,,,litres
Apr-02,-66.28180556,110.5276111,Casey,Fuel usage,1104,,litres
Apr-02,-54.61988889,158.861,Macquarie Island,Fuel usage,295,,litres
May-02,-67.60269444,62.87380556,Mawson,Fuel usage,0,,litres
May-02,-68.57661111,77.96738889,Davis,Fuel usage,880,,litres
May-02,-66.28180556,110.5276111,Casey,Fuel usage,1324,,litres
May-02,-54.61988889,158.861,Macquarie Island,Fuel usage,100,,litres
Jun-02,-67.60269444,62.87380556,Mawson,Fuel usage,0,,litres
Jun-02,-68.57661111,77.96738889,Davis,Fuel usage,920,,litres
Jun-02,-66.28180556,110.5276111,Casey,Fuel usage,953,,litres
Jun-02,-54.61988889,158.861,Macquarie Island,Fuel usage,86,,litres
Jul-02,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres
Jul-02,-68.57661111,77.96738889,Davis,Fuel usage,250,,litres
Jul-02,-66.28180556,110.5276111,Casey,Fuel usage,1003,,litres
Jul-02,-54.61988889,158.861,Macquarie Island,Fuel usage,80,,litres
Aug-02,-67.60269444,62.87380556,Mawson,Fuel usage,3900,,litres
Aug-02,-68.57661111,77.96738889,Davis,Fuel usage,46,,litres
Aug-02,-66.28180556,110.5276111,Casey,Fuel usage,602,,litres
Aug-02,-54.61988889,158.861,Macquarie Island,Fuel usage,170,,litres
Sep-02,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres
Sep-02,-68.57661111,77.96738889,Davis,Fuel usage,550,,litres
Sep-02,-66.28180556,110.5276111,Casey,Fuel usage,501,,litres
Sep-02,-54.61988889,158.861,Macquarie Island,Fuel usage,107,,litres
Oct-02,-67.60269444,62.87380556,Mawson,Fuel usage,3800,,litres
Oct-02,-68.57661111,77.96738889,Davis,Fuel usage,2300,,litres
Oct-02,-66.28180556,110.5276111,Casey,Fuel usage,1598,,litres
Oct-02,-54.61988889,158.861,Macquarie Island,Fuel usage,335,,litres
Nov-02,-67.60269444,62.87380556,Mawson,Fuel usage,9600,,litres
Nov-02,-68.57661111,77.96738889,Davis,Fuel usage,2800,,litres
Nov-02,-66.28180556,110.5276111,Casey,Fuel usage,5088,,litres
Nov-02,-54.61988889,158.861,Macquarie Island,Fuel usage,195,,litres
Dec-02,-67.60269444,62.87380556,Mawson,Fuel usage,5550,,litres
Dec-02,-68.57661111,77.96738889,Davis,Fuel usage,2700,,litres
Dec-02,-66.28180556,110.5276111,Casey,Fuel usage,14339,,litres
Dec-02,-54.61988889,158.861,Macquarie Island,Fuel usage,191,,litres
