Date,Parameter,Value,Unit of measure
Jun-06,Fuel usage,54939.0,litres
Jun-06,Fuel usage,47652.0,litres
Jun-06,Fuel usage,16919.0,litres
Jul-06,Fuel usage,43473.0,litres
Jul-06,Fuel usage,59077.0,litres
Jul-06,Fuel usage,46935.0,litres
Jul-06,Fuel usage,17414.0,litres
Aug-06,Fuel usage,40448.0,litres
Aug-06,Fuel usage,53560.0,litres
Aug-06,Fuel usage,47869.0,litres
Aug-06,Fuel usage,16444.0,litres
Sep-06,Fuel usage,36661.0,litres
Sep-06,Fuel usage,51468.0,litres
Sep-06,Fuel usage,47651.0,litres
Sep-06,Fuel usage,15920.0,litres
Oct-06,Fuel usage,30967.0,litres
Oct-06,Fuel usage,49427.0,litres
Oct-06,Fuel usage,47724.0,litres
Oct-06,Fuel usage,16483.0,litres
Nov-06,Fuel usage,23496.0,litres
Nov-06,Fuel usage,43130.0,litres
Nov-06,Fuel usage,42297.0,litres
Nov-06,Fuel usage,15625.0,litres
Dec-06,Fuel usage,24284.0,litres
Dec-06,Fuel usage,47248.0,litres
Dec-06,Fuel usage,36801.0,litres
Dec-06,Fuel usage,15480.0,litres
Jan-07,Fuel usage,32332.0,litres
Jan-07,Fuel usage,40785.0,litres
Jan-07,Fuel usage,35093.0,litres
Jan-07,Fuel usage,13783.0,litres
Feb-07,Fuel usage,24330.0,litres
Feb-07,Fuel usage,48070.0,litres
Feb-07,Fuel usage,37350.0,litres
Feb-07,Fuel usage,13743.0,litres
Mar-07,Fuel usage,29201.0,litres
Mar-07,Fuel usage,51081.0,litres
Mar-07,Fuel usage,44144.0,litres
Mar-07,Fuel usage,14274.0,litres
Apr-07,Fuel usage,35533.0,litres
Apr-07,Fuel usage,45342.0,litres
Apr-07,Fuel usage,42711.0,litres
Apr-07,Fuel usage,15004.0,litres
May-07,Fuel usage,29720.0,litres
May-07,Fuel usage,48596.0,litres
May-07,Fuel usage,47745.0,litres
May-07,Fuel usage,13577.0,litres
Jun-07,Fuel usage,30077.0,litres
Jun-07,Fuel usage,50490.0,litres
Jun-07,Fuel usage,47793.0,litres
Jun-07,Fuel usage,14067.0,litres
Jul-07,Fuel usage,29449.0,litres
Jul-07,Fuel usage,49276.0,litres
Jul-07,Fuel usage,48180.0,litres
Jul-07,Fuel usage,13948.0,litres
Aug-07,Fuel usage,36777.0,litres
Aug-07,Fuel usage,51841.0,litres
Aug-07,Fuel usage,51140.0,litres
Aug-07,Fuel usage,13238.0,litres
Sep-07,Fuel usage,35755.0,litres
Sep-07,Fuel usage,51018.0,litres
Sep-07,Fuel usage,49413.0,litres
Sep-07,Fuel usage,12588.0,litres
Oct-07,Fuel usage,31896.0,litres
Oct-07,Fuel usage,48901.0,litres
Oct-07,Fuel usage,46656.0,litres
Oct-07,Fuel usage,12772.0,litres
Nov-07,Fuel usage,25224.0,litres
Nov-07,Fuel usage,39619.0,litres
Nov-07,Fuel usage,39421.0,litres
Nov-07,Fuel usage,11921.0,litres
Dec-07,Fuel usage,37601.0,litres
Dec-07,Fuel usage,43605.0,litres
Dec-07,Fuel usage,38331.0,litres
Dec-07,Fuel usage,12003.0,litres
Jan-08,Fuel usage,27326.0,litres
Jan-08,Fuel usage,38636.0,litres
Jan-08,Fuel usage,37086.0,litres
Jan-08,Fuel usage,12897.0,litres
Feb-08,Fuel usage,21574.0,litres
Feb-08,Fuel usage,45692.0,litres
Feb-08,Fuel usage,37429.0,litres
Feb-08,Fuel usage,11523.0,litres
Mar-08,Fuel usage,26214.0,litres
Mar-08,Fuel usage,53465.0,litres
Mar-08,Fuel usage,44317.0,litres
Mar-08,Fuel usage,13650.0,litres
Apr-08,Fuel usage,32745.0,litres
Apr-08,Fuel usage,57044.0,litres
Apr-08,Fuel usage,44344.0,litres
Apr-08,Fuel usage,12852.0,litres
May-08,Fuel usage,25445.0,litres
May-08,Fuel usage,59398.0,litres
May-08,Fuel usage,46601.0,litres
Jun-08,Fuel usage,32107.0,litres
Jun-08,Fuel usage,54435.0,litres
Jun-08,Fuel usage,48225.0,litres
Jun-08,Fuel usage,15338.0,litres
Jul-08,Fuel usage,39812.0,litres
Jul-08,Fuel usage,57661.0,litres
Jul-08,Fuel usage,45824.0,litres
Jul-08,Fuel usage,14526.0,litres
Aug-08,Fuel usage,38285.0,litres
