??,??,??,??,??????,????????,????
12-03-2019 17.00,282,-6.371,0.002,1.242,9.199,0
12-03-2019 18.00,283,-6.996,0.002,0,0,0
12-03-2019 19.00,284,-7.424,0.002,0,0,0
12-03-2019 20.00,285,-7.801,0.002,0,0,0
12-03-2019 21.00,286,-8.271,0.002,0,0,0
12-03-2019 22.00,287,-8.69,0.002,0,0,0
12-03-2019 23.00,288,-9.014,0.002,0,0,0
13-03-2019 0.00,289,-9.269,0.002,0,0,0
13-03-2019 1.00,290,-9.706,0.002,0,0,0
13-03-2019 2.00,291,-9.958,0.002,0,0,0
13-03-2019 3.00,292,-9.984,0.002,0,0,0
13-03-2019 4.00,293,-9.949,0.002,0,0,0
13-03-2019 5.00,294,-10.073,0.002,2.867,14.758,1.48
13-03-2019 6.00,295,-9.029,0.002,55.762,185.011,682.183
13-03-2019 7.00,296,-6.954,0.002,163.754,406.487,2540.692
13-03-2019 8.00,297,-4.792,0.002,271.204,596.28,3848.306
13-03-2019 9.00,298,-2.505,0.002,367.351,741.387,4178.599
13-03-2019 10.00,299,-0.849,0.002,427.13,831.933,4207.396
13-03-2019 11.00,300,0.234,0.002,442.039,861.761,4039.019
13-03-2019 12.00,301,0.785,0.002,424.554,828.875,3810.625
13-03-2019 13.00,302,0.927,0.002,367.016,735.532,3283.08
13-03-2019 14.00,303,0.512,0.002,276.149,588.112,2079.948
13-03-2019 15.00,304,-0.428,0.002,165.619,396.672,760.806
13-03-2019 16.00,305,-1.884,0.002,60.598,174.471,156.906
13-03-2019 17.00,306,-3.511,0.002,2.941,10.889,0
13-03-2019 18.00,307,-4.108,0.002,0,0,0
13-03-2019 19.00,308,-4.77,0.002,0,0,0
13-03-2019 20.00,309,-5.353,0.002,0,0,0
13-03-2019 21.00,310,-5.733,0.002,0,0,0
13-03-2019 22.00,311,-6.177,0.002,0,0,0
13-03-2019 23.00,312,-6.613,0.002,0,0,0
14-03-2019 0.00,313,-7.03,0.002,0,0,0
14-03-2019 1.00,314,-7.44,0.002,0,0,0
14-03-2019 2.00,315,-7.738,0.002,0,0,0
14-03-2019 3.00,316,-8.042,0.002,0,0,0
14-03-2019 4.00,317,-8.219,0.002,0,0,0
14-03-2019 5.00,318,-8.394,0.002,3.385,16.788,1.684
14-03-2019 6.00,319,-7.34,0.002,65.453,191.944,438.022
14-03-2019 7.00,320,-4.976,0.002,194.023,413.426,1312.983
14-03-2019 8.00,321,-2.334,0.002,329.883,603.194,2214.381
14-03-2019 9.00,322,-1.247,0.002,419.397,748.264,2055.767
14-03-2019 10.00,323,-0.679,0.002,465.607,838.794,2037.13
14-03-2019 11.00,324,-0.296,0.002,476.208,868.623,2354.506
14-03-2019 12.00,325,-0.183,0.002,437.2,835.741,2010.918
14-03-2019 13.00,326,-0.336,0.002,355.565,742.401,1711.325
14-03-2019 14.00,327,-0.746,0.002,257.455,595.002,1290.405
14-03-2019 15.00,328,-1.525,0.002,154.323,403.603,577.019
14-03-2019 16.00,329,-2.834,0.002,58.966,181.379,201.529
14-03-2019 17.00,330,-4.824,0.002,3.186,12.759,0
14-03-2019 18.00,331,-5.445,0.002,0,0,0
14-03-2019 19.00,332,-5.872,0.002,0,0,0
14-03-2019 20.00,333,-6.215,0.002,0,0,0
14-03-2019 21.00,334,-6.514,0.002,0,0,0
14-03-2019 22.00,335,-6.71,0.002,0,0,0
14-03-2019 23.00,336,-6.798,0.002,0,0,0
15-03-2019 0.00,337,-6.894,0.002,0,0,0
15-03-2019 1.00,338,-7.097,0.002,0,0,0
15-03-2019 2.00,339,-7.43,0.002,0,0,0
15-03-2019 3.00,340,-7.83,0.002,0,0,0
15-03-2019 4.00,341,-8.282,0.002,0,0,0
15-03-2019 5.00,342,-8.813,0.002,5.063,19.005,26.645
15-03-2019 6.00,343,-7.575,0.002,84.247,198.882,1048.886
15-03-2019 7.00,344,-4.65,0.002,235.515,420.349,2393.828
15-03-2019 8.00,345,-1.922,0.002,386.633,610.075,3208.562
15-03-2019 9.00,346,-0.88,0.002,466.201,755.117,2454.699
15-03-2019 10.00,347,-0.366,0.002,486.242,845.623,2391.501
15-03-2019 11.00,348,-0.151,0.002,481.033,875.438,2413.707
15-03-2019 12.00,349,-0.265,0.002,452.791,842.562,1738.409
15-03-2019 13.00,350,-0.409,0.002,392.015,749.252,1607.509
15-03-2019 14.00,351,-0.946,0.002,298.081,601.879,964.728
15-03-2019 15.00,352,-1.721,0.002,191.814,410.525,511.23
15-03-2019 16.00,353,-2.908,0.002,78.517,188.296,182.509
15-03-2019 17.00,354,-5.373,0.002,4.891,14.812,0
15-03-2019 18.00,355,-6.724,0.002,0,0,0
15-03-2019 19.00,356,-7.579,0.002,0,0,0
15-03-2019 20.00,357,-8.096,0.002,0,0,0
15-03-2019 21.00,358,-8.58,0.002,0,0,0
15-03-2019 22.00,359,-9.064,0.002,0,0,0
15-03-2019 23.00,360,-9.557,0.002,0,0,0
16-03-2019 0.00,361,-10.001,0.002,0,0,0
16-03-2019 1.00,362,-10.349,0.002,0,0,0
16-03-2019 2.00,363,-10.658,0.002,0,0,0
16-03-2019 3.00,364,-10.87,0.002,0,0,0
16-03-2019 4.00,365,-11.063,0.002,0,0,0
16-03-2019 5.00,366,-11.19,0.002,7.815,21.412,172.851
16-03-2019 6.00,367,-9.227,0.002,103.909,205.828,2644.748
16-03-2019 7.00,368,-5.623,0.002,261.15,427.252,3692.678
16-03-2019 8.00,369,-2.15,0.002,415.434,616.919,4257.799
16-03-2019 9.00,370,-0.318,0.002,528.524,761.912,4413.002
16-03-2019 10.00,371,0.964,0.002,602.563,852.394,4430.354
16-03-2019 11.00,372,1.811,0.002,628.311,882.223,4285.743
16-03-2019 12.00,373,2.231,0.002,598.271,849.344,4264.855
16-03-2019 13.00,374,2.267,0.002,506.653,756.058,4047.834
16-03-2019 14.00,375,1.831,0.002,373.781,608.73,3407.09
16-03-2019 15.00,376,0.87,0.002,226.175,417.418,2050.477
16-03-2019 16.00,377,-1.353,0.002,86.178,195.224,734.484
16-03-2019 17.00,378,-4.402,0.002,5.179,17.053,2.757
