??,??,????,??,????
13-06-2019 14.00,303,1.161,5.924,1063.828
13-06-2019 15.00,304,1.163,6.413,1340.416
13-06-2019 16.00,305,1.166,5.926,1064.895
13-06-2019 17.00,306,1.169,6.434,1352.563
13-06-2019 18.00,307,1.171,6.955,1677.12
13-06-2019 19.00,308,1.174,6.784,1565.127
13-06-2019 20.00,309,1.176,6.508,1394.914
13-06-2019 21.00,310,1.176,5.989,1099.198
13-06-2019 22.00,311,1.173,5.679,938.071
13-06-2019 23.00,312,1.17,5.519,860.63
14-06-2019 0.00,313,1.166,5.498,850.269
14-06-2019 1.00,314,1.163,5.354,783.901
14-06-2019 2.00,315,1.162,5.012,637.062
14-06-2019 3.00,316,1.161,4.687,512.511
14-06-2019 4.00,317,1.161,3.852,255.511
14-06-2019 5.00,318,1.161,2.211,15.645
14-06-2019 6.00,319,1.162,1.408,0.594
14-06-2019 7.00,320,1.164,2.017,8.342
14-06-2019 8.00,321,1.166,2.712,52.228
14-06-2019 9.00,322,1.169,3.028,90.373
14-06-2019 10.00,323,1.172,3.427,159.051
14-06-2019 11.00,324,1.176,3.657,208.302
14-06-2019 12.00,325,1.18,3.599,195.266
14-06-2019 13.00,326,1.184,3.221,122.467
14-06-2019 14.00,327,1.187,2.443,28.593
14-06-2019 15.00,328,1.19,1.873,5.131
14-06-2019 16.00,329,1.192,1.653,2.059
14-06-2019 17.00,330,1.195,2.145,12.595
14-06-2019 18.00,331,1.197,3.61,197.653
14-06-2019 19.00,332,1.2,5.074,664.924
14-06-2019 20.00,333,1.202,6.73,1536.883
14-06-2019 21.00,334,1.202,8.055,2421.073
14-06-2019 22.00,335,1.198,8.844,2949.959
14-06-2019 23.00,336,1.193,9.137,3137.737
15-06-2019 0.00,337,1.188,9.054,3089.358
15-06-2019 1.00,338,1.183,8.831,2947.721
15-06-2019 2.00,339,1.178,8.672,2842.277
15-06-2019 3.00,340,1.174,8.559,2762.071
15-06-2019 4.00,341,1.171,8.365,2630.377
15-06-2019 5.00,342,1.168,8.588,2782.201
15-06-2019 6.00,343,1.167,9.264,3220.404
15-06-2019 7.00,344,1.167,9.769,3511.921
15-06-2019 8.00,345,1.167,10.014,3644.281
15-06-2019 9.00,346,1.169,10.229,3753.319
15-06-2019 10.00,347,1.171,10.259,3768.435
15-06-2019 11.00,348,1.175,10.115,3696.32
15-06-2019 12.00,349,1.179,9.716,3484.922
15-06-2019 13.00,350,1.183,9.267,3220.336
15-06-2019 14.00,351,1.186,8.802,2928.086
15-06-2019 15.00,352,1.19,8.388,2645.643
15-06-2019 16.00,353,1.193,7.909,2317.763
15-06-2019 17.00,354,1.196,6.833,1600.299
15-06-2019 18.00,355,1.199,7.075,1756.015
15-06-2019 19.00,356,1.202,8.142,2479.348
15-06-2019 20.00,357,1.204,8.492,2721.68
15-06-2019 21.00,358,1.202,8.384,2643.13
15-06-2019 22.00,359,1.194,8.177,2503.605
15-06-2019 23.00,360,1.185,7.881,2297.656
16-06-2019 0.00,361,1.178,7.462,2010.412
16-06-2019 1.00,362,1.173,7.359,1941.741
16-06-2019 2.00,363,1.168,7.436,1996.934
16-06-2019 3.00,364,1.164,7.614,2116.919
16-06-2019 4.00,365,1.16,6.362,1309.737
16-06-2019 5.00,366,1.158,4.501,447.437
16-06-2019 6.00,367,1.156,5.582,894.235
16-06-2019 7.00,368,1.155,5.694,947.369
16-06-2019 8.00,369,1.156,5.985,1099.045
16-06-2019 9.00,370,1.157,6.313,1280.072
16-06-2019 10.00,371,1.159,6.254,1248.174
16-06-2019 11.00,372,1.161,5.755,976.276
16-06-2019 12.00,373,1.164,5.003,633.52
16-06-2019 13.00,374,1.167,4.315,386.831
16-06-2019 14.00,375,1.169,3.695,218.222
16-06-2019 15.00,376,1.172,3.206,119.772
16-06-2019 16.00,377,1.175,2.958,81.657
16-06-2019 17.00,378,1.178,2.858,67.726
16-06-2019 18.00,379,1.181,2.213,15.656
16-06-2019 19.00,380,1.184,1.583,1.437
16-06-2019 20.00,381,1.187,1.132,0.097
16-06-2019 21.00,382,1.187,1.529,1.092
16-06-2019 22.00,383,1.182,2.636,43.975
16-06-2019 23.00,384,1.175,3.736,226.709
17-06-2019 0.00,385,1.168,4.571,471.3
17-06-2019 1.00,386,1.164,5.04,652.249
17-06-2019 2.00,387,1.16,4.952,613.027
17-06-2019 3.00,388,1.157,4.592,478.545
17-06-2019 4.00,389,1.155,4.55,464.188
17-06-2019 5.00,390,1.153,4.494,444.982
17-06-2019 6.00,391,1.153,3.499,175.486
17-06-2019 7.00,392,1.153,3.288,132.743
17-06-2019 8.00,393,1.154,4.076,315.747
17-06-2019 9.00,394,1.156,5.486,844.877
17-06-2019 10.00,395,1.158,6.65,1481.372
17-06-2019 11.00,396,1.162,6.894,1638.628
17-06-2019 12.00,397,1.165,6.631,1469.604
17-06-2019 13.00,398,1.169,6.401,1331.421
17-06-2019 14.00,399,1.172,6.236,1240.982
17-06-2019 15.00,400,1.175,5.933,1068.676
17-06-2019 16.00,401,1.178,5.54,874.861
17-06-2019 17.00,402,1.18,5.6,899.3
17-06-2019 18.00,403,1.183,6.239,1242.692
17-06-2019 19.00,404,1.185,6.253,1246.954
17-06-2019 20.00,405,1.187,6.033,1126.072
17-06-2019 21.00,406,1.185,5.852,1026.1
17-06-2019 22.00,407,1.177,5.376,793.967
17-06-2019 23.00,408,1.168,4.624,493.256
18-06-2019 0.00,409,1.162,4.158,339.796
18-06-2019 1.00,410,1.157,4.066,312.768
18-06-2019 2.00,411,1.152,4.914,598.107
18-06-2019 3.00,412,1.148,5.778,991.395
18-06-2019 4.00,413,1.145,5.072,664.852
18-06-2019 5.00,414,1.143,4.863,579.675
18-06-2019 6.00,415,1.142,5.421,814.438
18-06-2019 7.00,416,1.141,5.398,803.876
18-06-2019 8.00,417,1.141,5.248,736.766
18-06-2019 9.00,418,1.142,5.378,794.681
18-06-2019 10.00,419,1.143,5.461,837.025
18-06-2019 11.00,420,1.146,5.071,664.81
18-06-2019 12.00,421,1.149,4.506,449.217
18-06-2019 13.00,422,1.152,4.271,373.73
18-06-2019 14.00,423,1.155,4.371,407.675
