Indicator 57 Monthly incinerator fuel usage of Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Feb-02,-68.57661111,77.96738889,Davis,Fuel usage,4260,,litres,,
Feb-02,-66.28180556,110.5276111,Casey,Fuel usage,3450,,litres,,
Feb-02,-54.61988889,158.861,Macquarie Island,Fuel usage,1690,,litres,,
Mar-02,-67.60269444,62.87380556,Mawson,Fuel usage,1450,,litres,,
Mar-02,-68.57661111,77.96738889,Davis,Fuel usage,2900,,litres,,
Mar-02,-66.28180556,110.5276111,Casey,Fuel usage,350,,litres,,
Mar-02,-54.61988889,158.861,Macquarie Island,Fuel usage,1200,,litres,,
Apr-02,-67.60269444,62.87380556,Mawson,Fuel usage,400,,litres,,
Apr-02,-68.57661111,77.96738889,Davis,Fuel usage,800,,litres,,
Apr-02,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Apr-02,-54.61988889,158.861,Macquarie Island,Fuel usage,1440,,litres,,
May-02,-67.60269444,62.87380556,Mawson,Fuel usage,800,,litres,,
May-02,-68.57661111,77.96738889,Davis,Fuel usage,1185,,litres,,
May-02,-66.28180556,110.5276111,Casey,Fuel usage,500,,litres,,
May-02,-54.61988889,158.861,Macquarie Island,Fuel usage,658,,litres,,
Jun-02,-67.60269444,62.87380556,Mawson,Fuel usage,1000,,litres,,
Jun-02,-68.57661111,77.96738889,Davis,Fuel usage,1850,,litres,,
Jun-02,-66.28180556,110.5276111,Casey,Fuel usage,525,,litres,,
Jun-02,-54.61988889,158.861,Macquarie Island,Fuel usage,480,,litres,,
Jul-02,-67.60269444,62.87380556,Mawson,Fuel usage,1200,,litres,,
Jul-02,-68.57661111,77.96738889,Davis,Fuel usage,1100,,litres,,
Jul-02,-66.28180556,110.5276111,Casey,Fuel usage,1475,,litres,,
Jul-02,-54.61988889,158.861,Macquarie Island,Fuel usage,530,,litres,,
Aug-02,-67.60269444,62.87380556,Mawson,Fuel usage,900,,litres,,
Aug-02,-68.57661111,77.96738889,Davis,Fuel usage,1500,,litres,,
Aug-02,-66.28180556,110.5276111,Casey,Fuel usage,700,,litres,,
Aug-02,-54.61988889,158.861,Macquarie Island,Fuel usage,720,,litres,,
Sep-02,-67.60269444,62.87380556,Mawson,Fuel usage,500,,litres,,
Sep-02,-68.57661111,77.96738889,Davis,Fuel usage,3100,,litres,,
Sep-02,-66.28180556,110.5276111,Casey,Fuel usage,800,,litres,,
Sep-02,-54.61988889,158.861,Macquarie Island,Fuel usage,370,,litres,,
Oct-02,-67.60269444,62.87380556,Mawson,Fuel usage,1500,,litres,,
Oct-02,-68.57661111,77.96738889,Davis,Fuel usage,1200,,litres,,
Oct-02,-66.28180556,110.5276111,Casey,Fuel usage,1000,,litres,,
Oct-02,-54.61988889,158.861,Macquarie Island,Fuel usage,762,,litres,,
Nov-02,-67.60269444,62.87380556,Mawson,Fuel usage,6000,,litres,,
Nov-02,-68.57661111,77.96738889,Davis,Fuel usage,1850,,litres,,
Nov-02,-66.28180556,110.5276111,Casey,Fuel usage,1200,,litres,,
Nov-02,-54.61988889,158.861,Macquarie Island,Fuel usage,720,,litres,,
Dec-02,-67.60269444,62.87380556,Mawson,Fuel usage,1300,,litres,,
Dec-02,-68.57661111,77.96738889,Davis,Fuel usage,3750,,litres,,
Dec-02,-66.28180556,110.5276111,Casey,Fuel usage,2400,,litres,,
Dec-02,-54.61988889,158.861,Macquarie Island,Fuel usage,797,,litres,,
Jan-03,-67.60269444,62.87380556,Mawson,Fuel usage,1600,,litres,,
Jan-03,-68.57661111,77.96738889,Davis,Fuel usage,2000,,litres,,
Jan-03,-66.28180556,110.5276111,Casey,Fuel usage,2300,,litres,,
Jan-03,-54.61988889,158.861,Macquarie Island,Fuel usage,1430,,litres,,
Feb-03,-67.60269444,62.87380556,Mawson,Fuel usage,1700,,litres,,
Feb-03,-68.57661111,77.96738889,Davis,Fuel usage,2300,,litres,,
Feb-03,-66.28180556,110.5276111,Casey,Fuel usage,2000,,litres,,
Feb-03,-54.61988889,158.861,Macquarie Island,Fuel usage,560,,litres,,
